Jour     ,Date       ,PR 1,PR 2,UCA
Lundi,31/01/2022,CC + AGC,,FP
Mardi,01/02/2022, BB + FP,,LM
Mercredi,02/02/2022,AB + AGC,,PMA
Jeudi,03/02/2022,LC,,PM
Vendredi,04/02/2022,AGC,,GP
,05/02/2022,,,
,06/02/2022,,,
Lundi,07/02/2022,CC + CA,,AB
Mardi,08/02/2022,AGC + FP,,LC
Mercredi,09/02/2022,BB + FP,,PM
Jeudi,10/02/2022,PM,,FD
Vendredi,11/02/2022,CA,,AGC
,12/02/2022,,,
,13/02/2022,,,
Lundi,14/02/2022,CC + AGC,,CCA
Mardi,15/02/2022,BB + AGC,,LM
Mercredi,16/02/2022,BB + AGC,,PMA
Jeudi,17/02/2022,FD,,PM
Vendredi,18/02/2022,CA,,GP
,19/02/2022,,,
,20/02/2022,,,
Lundi,21/02/2022,CC + CA,,AB
Mardi,22/02/2022,,,LC
Mercredi,23/02/2022,AB,,PM
Jeudi,24/02/2022,PM,,FD
Vendredi,25/02/2022,GP,,CA
,26/02/2022,,,
,27/02/2022,,,
Lundi,28/02/2022,CC+ CA,,
Mardi,01/03/2022,,,LM
Mercredi,02/03/2022,AB,,PMA
Jeudi,03/03/2022,CA,,
Vendredi,04/03/2022,BB,,
